"Color Name";"Color Number";"Hex";"RGB"
"Jojoba";"AF-460";"#868B75";"rgb(134, 139, 117)"
"Wind";"AF-465";"#C8CBB7";"rgb(200, 203, 183)"
"Flora";"AF-470";"#A4AD9F";"rgb(164, 173, 159)"
"Lush";"AF-475";"#748172";"rgb(116, 129, 114)"
"Boreal";"AF-480";"#54604F";"rgb(84, 96, 79)"
"Crystalline";"AF-485";"#CAD5C9";"rgb(202, 213, 201)"
"Tranquility";"AF-490";"#BCC4BC";"rgb(188, 196, 188)"
"Azores";"AF-495";"#8AA199";"rgb(138, 161, 153)"
"Atmospheric";"AF-500";"#899E9B";"rgb(137, 158, 155)"
"Blue";"AF-505";"#6F898E";"rgb(111, 137, 142)"
"Dragonfly";"AF-510";"#3E625F";"rgb(62, 98, 95)"
"Exhale";"AF-515";"#A0B9C2";"rgb(160, 185, 194)"
"Schooner";"AF-520";"#537788";"rgb(83, 119, 136)"
"Fiji";"AF-525";"#4F8093";"rgb(79, 128, 147)"
"Lucerne";"AF-530";"#3B657E";"rgb(59, 101, 126)"
"Serenata";"AF-535";"#ACC2CD";"rgb(172, 194, 205)"
"Constellation";"AF-540";"#D6E2E4";"rgb(214, 226, 228)"
"Solitude";"AF-545";"#A4AFB5";"rgb(164, 175, 181)"
"Amsterdam";"AF-550";"#82959E";"rgb(130, 149, 158)"
"Montpelier";"AF-555";"#728188";"rgb(114, 129, 136)"
"Flint";"AF-560";"#575D5F";"rgb(87, 93, 95)"
"Mysterious";"AF-565";"#464C55";"rgb(70, 76, 85)"
"Coastline";"AF-570";"#929EA9";"rgb(146, 158, 169)"
"Instinct";"AF-575";"#BBC6D1";"rgb(187, 198, 209)"
"Luxe";"AF-580";"#757E93";"rgb(117, 126, 147)"
"Wisteria";"AF-585";"#9D9DA7";"rgb(157, 157, 167)"
"Tempest";"AF-590";"#7B777F";"rgb(123, 119, 127)"
"Inspired";"AF-595";"#AD9FAB";"rgb(173, 159, 171)"
"Amorous";"AF-600";"#968997";"rgb(150, 137, 151)"
"Slip";"AF-605";"#D7D3D6";"rgb(215, 211, 214)"
"Batik";"AF-610";"#CDBAB6";"rgb(205, 186, 182)"
"Violetta";"AF-615";"#C5B8BC";"rgb(197, 184, 188)"
"Sanctuary";"AF-620";"#B5AAB0";"rgb(181, 170, 176)"
"Aplomb";"AF-625";"#95727E";"rgb(149, 114, 126)"
"Kalamata";"AF-630";"#705160";"rgb(112, 81, 96)"
"Bonne";"AF-635";"#7D6B74";"rgb(125, 107, 116)"
"Kasbah";"AF-640";"#7A6D70";"rgb(122, 109, 112)"
"Chambourd";"AF-645";"#57474F";"rgb(87, 71, 79)"
"Caponata";"AF-650";"#463234";"rgb(70, 50, 52)"
"Silhouette";"AF-655";"#58514D";"rgb(88, 81, 77)"
"Granite";"AF-660";"#837E7C";"rgb(131, 126, 124)"
"Angelica";"AF-665";"#D5CFCC";"rgb(213, 207, 204)"
"Nightingale";"AF-670";"#B7B5B3";"rgb(183, 181, 179)"
"Fusion";"AF-675";"#A6A3A1";"rgb(166, 163, 161)"
"Wish";"AF-680";"#D0CBC3";"rgb(208, 203, 195)"
"Thunder";"AF-685";"#BEB9AE";"rgb(190, 185, 174)"
"Metropolitan";"AF-690";"#BBBEB9";"rgb(187, 190, 185)"
"Eternity";"AF-695";"#BFC3C3";"rgb(191, 195, 195)"
"Storm";"AF-700";"#A0A19F";"rgb(160, 161, 159)"
"Cinder";"AF-705";"#878684";"rgb(135, 134, 132)"
"Secret";"AF-710";"#898A84";"rgb(137, 138, 132)"
"Dolphin";"AF-715";"#86847E";"rgb(134, 132, 126)"
"Sparrow";"AF-720";"#847D6F";"rgb(132, 125, 111)"
"Coastal";"AC-1";"#CBC5B1";"rgb(203, 197, 177)"
"Berkshire";"AC-2";"#B0A690";"rgb(176, 166, 144)"
"Texas";"AC-3";"#867B69";"rgb(134, 123, 105)"
"Yosemite";"AC-4";"#DECAAD";"rgb(222, 202, 173)"
"Springfield";"AC-5";"#C1A888";"rgb(193, 168, 136)"
"New";"AC-6";"#A18562";"rgb(161, 133, 98)"
"Adobe";"AC-7";"#D9C5AC";"rgb(217, 197, 172)"
"Butte";"AC-8";"#C9AC8C";"rgb(201, 172, 140)"
"Nugget";"AC-9";"#B7916C";"rgb(183, 145, 108)"
"San";"AC-10";"#DBB9A2";"rgb(219, 185, 162)"
"Sierra";"AC-11";"#CBA387";"rgb(203, 163, 135)"
"Copper";"AC-12";"#B27E61";"rgb(178, 126, 97)"
"Mochachino";"AC-13";"#D9BEAE";"rgb(217, 190, 174)"
"Pecos";"AC-14";"#C49E88";"rgb(196, 158, 136)"
"Colorado";"AC-15";"#B88D76";"rgb(184, 141, 118)"
"Kentucky";"AC-16";"#A4B1AF";"rgb(164, 177, 175)"
"Sea";"AC-17";"#8C9591";"rgb(140, 149, 145)"
"Smoky";"AC-18";"#7B8580";"rgb(123, 133, 128)"
"Homestead";"AC-19";"#A5BCB7";"rgb(165, 188, 183)"
"Mountain";"AC-20";"#758F89";"rgb(117, 143, 137)"
"Silver";"AC-21";"#5B726A";"rgb(91, 114, 106)"
"Nantucket";"AC-22";"#A3B5BB";"rgb(163, 181, 187)"
